year,zone_id,total
2017,54,33757.4687559
2017,42,28133.940819
2017,49,21907.5527523
2017,24,13534.9798946
2017,25,59590.7270568
2017,26,25160.4058372
2017,27,34974.9592982
2017,20,48444.4523699
2017,21,92792.6013061
2017,22,45203.177192
2017,23,22142.5601995
2017,46,27401.6935194
2017,47,0.0
2017,44,20824.4286956
2017,45,43669.4172005
2017,28,34247.1373978
2017,43,31953.5708502
2017,40,36823.8678697
2017,41,39539.2450259
2017,1,42375.566447
2017,3,16073.6742766
2017,2,29890.8520373
2017,5,69278.3881672
2017,4,56828.6031346
2017,7,18287.4414389
2017,6,22286.2370198
2017,9,23060.6169925
2017,8,23219.5019439
2017,11,34247.1373978
2017,10,45872.5633404
2017,13,29178.6789964
2017,12,30034.0732071
2017,15,17694.3118655
2017,14,38700.7546517
2017,17,61448.1869611
2017,16,22621.7114552
2017,19,171835.720663
2017,18,69635.7611288
2017,31,101512.383353
2017,30,25160.4058372
2017,51,13267.6156831
2017,50,25397.4348445
2017,53,11133.9698384
2017,52,22932.2632386
2017,55,31668.9852089
2017,48,18314.094792
2018,54,34048.7765369
2018,42,28376.6608439
2018,49,22096.0192958
2018,24,13530.1353342
2018,25,59857.9539171
2018,26,25222.2020071
2018,27,35133.6446044
2018,20,48587.7810214
2018,21,93378.0085704
2018,22,45390.9820618
2018,23,22189.0733117
2018,46,27637.6311772
2018,47,0.0
2018,44,21003.8809522
2018,45,44045.4524011
2018,28,34303.0337617
2018,43,32229.436972
2018,40,37140.2026191
2018,41,39880.5040911
2018,1,42540.0779621
2018,3,16141.3702524
2018,2,30098.0487462
2018,5,69441.5607007
2018,4,57083.0487346
2018,7,18280.9604453
2018,6,22338.9340779
2018,9,23201.9087501
2018,8,23368.5455274
2018,11,34303.0337617
2018,10,45995.1004346
2018,13,29283.4831356
2018,12,30115.7276727
2018,15,17739.7697322
2018,14,38740.455985
2018,17,61632.1756728
2018,16,22610.9670889
2018,19,173003.416856
2018,18,69782.5732262
2018,31,102221.184903
2018,30,25222.2020071
2018,51,13381.9218827
2018,50,25616.0230594
2018,53,11229.8099532
2018,52,23129.4185689
2018,55,31941.855036
2018,48,18472.0860333
2019,54,34317.5399478
2019,42,28600.5897196
2019,49,22269.8579581
2019,24,13522.9754616
2019,25,60094.4858243
2019,26,25280.0015429
2019,27,35284.309466
2019,20,48708.8485834
2019,21,93918.3432983
2019,22,45561.5698854
2019,23,22226.5965319
2019,46,27855.298219
2019,47,0.0
2019,44,21169.4465837
2019,45,44392.3673703
2019,28,34355.0114536
2019,43,32483.9282189
