meses,ponderador,,meses,ponderador baja demanda,,meses,ponderador media demanda,,,,,,0-9,"1,7392340","1,5913870"
82,"3,536506629",,82,"2,055637958",,82,"2,802802737",,,,,,,,
83,"3,555112903",,83,"2,059698027",,83,"2,81420202",,,,,,,,
84,"3,573557951",,84,"2,06370776",,84,"2,825495018",,,,,,,,
85,"3,59184275",,85,"2,067668389",,85,"2,836682835",,,,,,,,
86,"3,609968247",,86,"2,071581111",,86,"2,84776654",,,,,,,,
87,"3,627935358",,87,"2,075447083",,87,"2,85874717",,,,,,,,
88,"3,645744971",,88,"2,079267425",,88,"2,869625728",,,,,,,,
89,"3,663397947",,89,"2,083043225",,89,"2,880403187",,,,,,,,
90,"3,680895121",,90,"2,086775537",,90,"2,89108049",,,,,,,,
91,"3,698237301",,91,"2,090465383",,91,"2,901658552",,,,,,,,
92,"3,715425273",,92,"2,094113753",,92,"2,91213826",,,,,,,,
93,"3,7324598",,93,"2,097721612",,93,"2,922520476",,,,,,,,
94,"3,74934162",,94,"2,101289891",,94,"2,932806035",,,,,,,,
95,"3,766071452",,95,"2,104819499",,95,"2,942995749",,,,,,,,
96,"3,782649993",,96,"2,108311317",,96,"2,953090407",,,,,,,,
97,"3,799077922",,97,"2,111766199",,97,"2,963090775",,,,,,,,
98,"3,815355897",,98,"2,115184979",,98,"2,972997596",,,,,,,,
99,"3,831484558",,99,"2,118568464",,99,"2,982811596",,,,,,,,
100,"3,847464529",,100,"2,121917442",,100,"2,992533476",,,,,,,,
101,"3,863296413",,101,"2,125232675",,101,"3,002163923",,,,,,,,
102,"3,878980802",,102,"2,128514909",,102,"3,011703601",,,,,,,,
103,"3,894518267",,103,"2,131764867",,103,"3,021153159",,,,,,,,
104,"3,909909367",,104,"2,134983254",,104,"3,030513227",,,,,,,,
105,"3,925154645",,105,"2,138170756",,105,"3,039784418",,,,,,,,
106,"3,940254631",,106,"2,14132804",,106,"3,048967332",,,,,,,,
107,"3,955209838",,107,"2,144455758",,107,"3,05806255",,,,,,,,
108,"3,97002077",,108,"2,147554543",,108,"3,06707064",,,,,,,,
109,"3,984687916",,109,"2,150625013",,109,"3,075992154",,,,,,,,
110,"3,999211751",,110,"2,15366777",,110,"3,084827631",,,,,,,,
111,"4,013592742",,111,"2,156683401",,111,"3,093577597",,,,,,,,
112,"4,027831341",,112,"2,159672479",,112,"3,102242563",,,,,,,,
113,"4,04192799",,113,"2,162635561",,113,"3,11082303",,,,,,,,
114,"4,055883121",,114,"2,165573192",,114,"3,119319485",,,,,,,,
115,"4,069697154",,115,"2,168485903",,115,"3,127732403",,,,,,,,
116,"4,0833705",,116,"2,171374213",,116,"3,136062248",,,,,,,,
117,"4,09690356",,117,"2,174238628",,117,"3,144309474",,,,,,,,
118,"4,110296724",,118,"2,177079642",,118,"3,152474522",,,,,,,,
119,"4,123550376",,119,"2,179897737",,119,"3,160557825",,,,,,,,
120,"4,136664888",,120,"2,182693385",,120,"3,168559804",,,,,,,,
121,"4,149640625",,121,"2,185467046",,121,"3,17648087",,,,,,,,
122,"4,162477942",,122,"2,18821917",,122,"3,184321428",,,,,,,,
