Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.046438,0.046438,0.043974134
2,0.046438,0.046438,0.148317975
3,0.046438,0.046438,0.10482054
4,0.056649,0.056649,0.126306392
5,0.269258,0.269258,0.15561115
6,0.328025,0.328025,0.595037084
7,0.191271,0.191271,0.238894309
8,0.060891,0.060891,0.434544169
9,0.046438,0.046438,0.025769927
10,0.046438,0.057579,0.099554678
11,0.046438,0.046438,0.096215214
12,0.063909,0.063909,0.073524272
13,0,0,0.14430901
14,0.046438,0.091002,0.18941734
15,0.059983,0.115688,0.104561888
16,0,0,0.146165248
17,0.046438,0.324963,0.194629967
18,0.091002,0.135566,0.153717062
19,0,0,0.123881308
20,0.075206,0.086347,0.175713757
21,0.032664,0,0.162080326
22,0.18013,0.013015,0.158224406
23,0.081608,0.003621,0.174621307
24,0.14235,0,0.094932651
25,0.333313,0,0.123480588
26,0.113284,0,0.011510793
27,0.102143,0,0.075401486
28,0.091002,0,0.175931906
30,0.191271,0.191271,0.210081253
31,0.017734,0.118003,0.196720935
40,0.36553,0.36553,0
41,0.376671,0.376671,0.779834875
42,0.354389,0.354389,0.662291626
43,0.25412,0.25412,0.468921118
44,0.25412,0.25412,0.40061456
45,0.109287,0.109287,0.169774214
46,0.164992,0.164992,0.033802983
47,0.153851,0.153851,1
48,0.164992,0.164992,0
49,0.14271,0.14271,0.254317507
50,0.14271,0.14271,0.072972861
51,0,0,0.140205157
52,0.265261,0.131569,0.121529691
53,0.109287,0.109287,0.16604443
54,0.109287,0,0
55,0.220697,0.220697,0.264489842
