Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.066579,0.066579,0.082390897
2,0.066579,0.066579,0.209921457
3,0.066579,0.066579,0
4,0.077640,0.077640,0.314818406
5,0.347459,0.347459,0.119060492
6,0.411121,0.411121,0.275044961
7,0.249151,0.249151,0.208858994
8,0.076311,0.076311,0
9,0.066579,0.066579,0
10,0.066579,0.080623,0.401275878
11,0.066579,0.066579,0.140270616
12,0.085506,0.085506,0.074277333
13,0.000000,0.000000,0.078116686
14,0.066579,0.122755,0.254302943
15,0.075328,0.145548,0.126177256
16,0.000000,0.000000,0.086895358
17,0.066579,0.417679,0.065555248
18,0.122755,0.178931,0.174228656
19,0.000000,0.000000,0
20,0.074044,0.088088,0
21,0.037832,0.000000,0.118216232
22,0.235107,0.024447,0
23,0.104678,0.006370,0.122278598
24,0.184305,0.001733,0.178275361
25,0.422774,0.001454,0.139965522
26,0.150843,0.000000,0.164347762
27,0.136799,0.000000,0
28,0.122755,0.000000,0.129406421
30,0.249151,0.249151,0.526822477
31,0.025609,0.152005,0.500549386
40,0.437925,0.437925,0.250032901
41,0.451969,0.451969,1
42,0.423881,0.423881,0.6637237
43,0.297485,0.297485,0.588787153
44,0.297485,0.297485,0.890361061
45,0.114913,0.114913,0.21223723
46,0.185133,0.185133,0.33800744
47,0.171089,0.171089,0
48,0.185133,0.185133,0
49,0.157045,0.157045,0.424474459
50,0.157045,0.157045,0
51,0.000000,0.000000,0
52,0.311529,0.143001,0
53,0.114913,0.114913,1
54,0.114913,0.000000,0
55,0.255353,0.255353,0
