Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.015767,0.015767,0
2,0.015958,0.015958,0.008654451
3,0.016209,0.016209,0.00756618
4,0.013229,0.013229,0.015012457
5,0.022847,0.022847,0.008564357
6,0.034710,0.034710,0.043882721
7,0.022714,0.022714,0.012224452
8,0.019770,0.019770,0.027349506
9,0.006394,0.006394,0
10,0.014836,0.015486,0.007622134
11,0.011636,0.011636,0.003381118
12,0.017026,0.017026,0.004151748
13,0.011132,0.011132,0.003721777
14,0.014501,0.017102,0.011062335
15,0.017958,0.021209,0.006592366
16,0.007594,0.008894,0.008541156
17,0.014358,0.030611,0.007510974
18,0.016469,0.019069,0.01028538
19,0.006715,0.006065,0.00682731
20,0.027110,0.027760,0.013669312
21,0.015253,0.010703,0
22,0.019330,0.009578,0
23,0.019481,0.014931,0.004268294
24,0.021211,0.012760,0.006692473
25,0.033195,0.013692,0.011177891
26,0.019345,0.011544,0.008884339
27,0.017597,0.010446,0.003809167
28,0.014236,0.008385,0.021440228
30,0.022308,0.022308,0.015094207
31,0.013225,0.019076,0.013440692
40,0.043216,0.043216,0.017367702
41,0.043866,0.043866,0.035640403
42,0.042566,0.042566,0.086460107
43,0.036715,0.036715,0.076088295
44,0.036715,0.036715,0.036885067
45,0.028264,0.028264,0.005862146
46,0.031514,0.031514,0.004670557
47,0.030864,0.030864,0
48,0.031514,0.031514,0
49,0.030214,0.030214,0.017504553
50,0.030214,0.030214,0.015102816
51,0.017212,0.017212,0.00965101
52,0.037365,0.029564,0.044632615
53,0.028264,0.028264,0.045954596
54,0.028264,0.021763,0.00379211
55,0.034765,0.034765,0.012127224
