Unidad,proporcion,proporcion San Luis,Prop Lo Hermida
1,0.0040489842478544326,0.006979,0.006979
2,0.010448887822005992,0.007451,0.007451
3,0.0,0.009345,0.009345
4,0.003159621352717517,0.009613,0.009613
5,0.0029069029645504727,0.007383,0.007383
6,0.030726054938078114,0.010532,0.010532
7,0.0,0.007567,0.007567
8,0.0,0.003614,0.003614
9,0.0,0.003951,0.003951
10,0.01148737990986903,0.007351,0.007351
11,0.005407308567780723,0.005876,0.005876
12,0.006487976226110371,0.015393,0.015393
13,0.005686412276726555,0.008049,0.008049
14,0.022876342817705436,0.007768,0.007768
15,0.0,0.010441,0.010441
16,0.0,0.010727,0.010727
17,0.006194174895412065,0.007475,0.007475
18,0.007486091265809631,0.008301,0.008301
19,0.004686515894796784,0.007226,0.007226
20,0.01154440658674382,0.007185,0.007185
21,0.0018709755608984466,0.006758,0.006758
22,0.009177315457340548,0.008249,0.008249
23,0.0,0.013996,0.013996
24,0.012180083810683237,0.010519,0.010519
25,0.0027587663619266668,0.013688,0.013688
26,0.013055074911960075,0.006864,0.006864
27,0.015404964562414478,0.005225,0.005225
28,0.02257457108005541,0.007659,0.007659
30,0.0,0.005266,0.005266
31,0.008279081387657367,0.010346,0.010346
40,0.0,0.004395,0.004395
41,0.0071221438678492205,0.004395,0.004395
42,0.015008938398108684,0.004395,0.004395
43,0.004404165395183732,0.004395,0.004395
44,0.013520676225173691,0.004395,0.004395
45,0.0,0.004395,0.004395
46,0.0,0.004395,0.004395
47,0.0,0.004395,0.004395
48,0.0,0.004395,0.004395
49,0.0,0.004395,0.004395
50,0.0,0.004395,0.004395
51,0.0,0.004395,0.004395
52,0.006151087765170231,0.004395,0.004395
53,0.0,0.004395,0.004395
54,0.0,0.004395,0.004395
55,0.004447126471835789,0.004395,0.004395
