Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.097635,0.097635,0.042380427
2,0.080363,0.080363,0.055089316
3,0.038860,0.038860,0.050275807
4,0.071273,0.071273,0.032360854
5,0.208694,0.208694,0.073235076
6,0.250795,0.250795,0.213043535
7,0.136286,0.136286,0.141233641
8,0.112770,0.112770,0.402078847
9,0.105712,0.105712,0.180505725
10,0.066943,0.073080,0.030090171
11,0.080487,0.080487,0.046695158
12,0.123491,0.123491,0.030032918
13,0.019607,0.019607,0.072737282
14,0.057250,0.081798,0.041041865
15,0.109086,0.139771,0.03383155
16,0.046598,0.058872,0.069540572
17,0.059860,0.213285,0.090608275
18,0.089627,0.114175,0.077903268
19,0.046972,0.040835,0.060353347
20,0.102520,0.108657,0.094024813
21,0.074773,0.031814,0.101468718
22,0.152143,0.060088,0.051411682
23,0.114015,0.071056,0.015757146
24,0.134183,0.054402,0.046325983
25,0.267683,0.083573,0.043507948
26,0.102398,0.028754,0.033139789
27,0.119373,0.051866,0.04318922
28,0.083787,0.028554,0.069700336
30,0.165984,0.165984,0.07113765
31,0.078623,0.133856,0.086944063
40,0.259361,0.259361,0
41,0.265498,0.265498,0.542874151
42,0.253224,0.253224,0.543310914
43,0.197991,0.197991,0.256531854
44,0.197991,0.197991,0.535423494
45,0.118210,0.118210,0.046412039
46,0.148895,0.148895,0.036962798
47,0.142758,0.142758,0
48,0.148895,0.148895,0
49,0.136621,0.136621,0.046357677
50,0.136621,0.136621,0
51,0.013881,0.013881,0
52,0.204128,0.130484,0.177217731
53,0.118210,0.118210,0.090775481
54,0.118210,0.056840,0.03018394
55,0.179580,0.179580,0.064285209
