Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.029518,0.029518,0.024808955
2,0.029518,0.029518,0.039282679
3,0.029518,0.029518,0.022183083
4,0.031,0.031,0.023087973
5,0.061288,0.061288,0.033839608
6,0.069817,0.069817,0.081280922
7,0.050169,0.050169,0.084945693
8,0.031701,0.031701,0.05094456
9,0.029518,0.029518,0.050069566
10,0.029518,0.031107,0.019576409
11,0.029518,0.029518,0.00650693
12,0.032054,0.032054,0.007103135
13,0.021576,0.021576,0.014857028
14,0.029518,0.035872,0.024711841
15,0.031569,0.039512,0.025339959
16,0.015378,0.018555,0.012571523
17,0.029518,0.069231,0.013328422
18,0.035872,0.042226,0.032160967
19,0.018399,0.01681,0.023215043
20,0.034034,0.035622,0.056024026
21,0.027718,0.016598,0.019874981
22,0.04858,0.024753,0.002778093
23,0.034622,0.023503,0.016164942
24,0.043239,0.022588,0.025738006
25,0.070499,0.022844,0.023220485
26,0.039049,0.019987,0.01294605
27,0.037461,0.019987,0.022512456
28,0.035872,0.021576,0.050436167
30,0.050169,0.050169,0.043962954
31,0.025494,0.039791,0.027453173
40,0.075459,0.075459,0.036828611
41,0.077047,0.077047,0.083019415
42,0.07387,0.07387,0.144742614
43,0.059574,0.059574,0.162762303
44,0.059574,0.059574,0.092337898
45,0.038923,0.038923,0.033666793
46,0.046866,0.046866,0
47,0.045277,0.045277,0
48,0.046866,0.046866,0
49,0.043689,0.043689,0.04124312
50,0.043689,0.043689,0.004448037
51,0.011919,0.011919,0.034108647
52,0.061162,0.0421,0.029576402
53,0.038923,0.038923,0.050754051
54,0.038923,0.023038,0.006701047
55,0.054808,0.054808,0.010715024
