Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.009215,0.009215,0.005444339
2,0.009215,0.009215,0.005185752
3,0.009215,0.009215,0
4,0.010399,0.010399,0.00137573
5,0.024651,0.024651,0.00213903
6,0.031468,0.031468,0.002945562
7,0.019248,0.019248,0.004308545
8,0.012453,0.012453,0.003586617
9,0.009215,0.009215,0.006728916
10,0.009215,0.009987,0.003605828
11,0.009215,0.009215,0.004789738
12,0.011242,0.011242,0
13,0.005356,0.005356,0.002509926
14,0.009215,0.012302,0.002023676
15,0.012348,0.016207,0
16,0.002892,0.004436,0.002642463
17,0.009215,0.028510,0.002355987
18,0.012302,0.015389,0.005071324
19,0.003812,0.003041,0.000891761
20,0.018799,0.019570,0.008632912
21,0.011261,0.005858,0.002679275
22,0.018477,0.006900,0.001720334
23,0.013295,0.007892,0
24,0.016697,0.006663,0
25,0.030520,0.007366,0.002399811
26,0.013846,0.004584,0.002956789
27,0.013074,0.004584,0
28,0.012302,0.005356,0.002365863
30,0.019248,0.019248,0.003368237
31,0.008488,0.015434,0
40,0.039462,0.039462,0.010312322
41,0.040234,0.040234,0.012012435
42,0.038690,0.038690,0.010138531
43,0.031744,0.031744,0.011891023
44,0.031744,0.031744,0.009130049
45,0.021711,0.021711,0
46,0.025570,0.025570,0
47,0.024798,0.024798,0
48,0.025570,0.025570,0
49,0.024026,0.024026,0
50,0.024026,0.024026,0
51,0.008590,0.008590,0
52,0.032516,0.023254,0
53,0.021711,0.021711,0.017070374
54,0.021711,0.013993,0.002814916
55,0.029429,0.029429,0
