Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.001856,0.001856,0
2,0.001856,0.001856,0
3,0.001856,0.001856,0
4,0.002177,0.002177,0.006679249
5,0.004020,0.004020,0
6,0.005868,0.005868,0.009014677
7,0.003263,0.003263,0
8,0.003037,0.003037,0
9,0.001856,0.001856,0
10,0.001856,0.001964,0.004327926
11,0.001856,0.001856,0
12,0.002406,0.002406,0
13,0.001315,0.001315,0
14,0.001856,0.002289,0
15,0.003009,0.003550,0
16,0.001152,0.001369,0
17,0.001856,0.004561,0
18,0.002289,0.002722,0
19,0.001099,0.000990,0.00197625
20,0.005668,0.005776,0.003839
21,0.003118,0.002361,0
22,0.003154,0.001531,0
23,0.002962,0.002205,0
24,0.003177,0.001771,0.012170759
25,0.005308,0.002062,0.002923274
26,0.002505,0.001207,0
27,0.002397,0.001207,0.005085123
28,0.002289,0.001315,0.005982096
30,0.003263,0.003263,0.008042613
31,0.002164,0.003138,0.003478825
40,0.008744,0.008744,0
41,0.008852,0.008852,0.017966473
42,0.008636,0.008636,0.006315395
43,0.007662,0.007662,0.005557754
44,0.007662,0.007662,0.034131297
45,0.006255,0.006255,0.004068061
46,0.006796,0.006796,0
47,0.006688,0.006688,0
48,0.006796,0.006796,0
49,0.006580,0.006580,0.024353827
50,0.006580,0.006580,0
51,0.004416,0.004416,0.013394683
52,0.007770,0.006472,0
53,0.006255,0.006255,0
54,0.006255,0.005173,0
55,0.007337,0.007337,0.00560924
